Business_ID,Industry,Business_Structure,Revenue_Streams,Property_Ownership_vs_Leasing,Current_Tax_Strategy,Years_in_Business,Previous_Tax_Liabilities,Gross_Revenue,Net_Income,Taxable_Income,Income_Growth_Rate,Operating_Expenses,Payroll_Expenses,Retirement_Plan_Contributions,Healthcare_Expenses,Depreciation_and_Amortization,Interest_Expenses,R&D_Expenses,R&D_Credits,Energy_Efficiency_Credits,Work_Opportunity_Tax_Credit (WOTC),Employee_Retention_Credits (ERC),Carryforwards_and_Carryback,Home_Office_Deduction,Fixed_Assets,Capital_Expenditures,Vehicle_Use_for_Business,Major_Asset_Sales,Capital_Gains_and_Losses,Outstanding_Debt,Interest_Payments,Loan_Type,Business_Investments,Sales_Tax_Obligations,Inventory_Method,Number_of_Employees,Employee_Salaries_&_Wages,Bonuses_and_Incentives,Retirement_Contributions_for_Employees,Health_Benefits_Provided,R&D_Credit_Eligible,ERC_Eligible,WOTC_Eligible,Energy_Credit_Eligible,Home_Office_Eligible
10000,Healthcare,S-Corp,Consulting,Owning,Conservative,12,40153,2943236,1436689,59477,-0.17400532401114627,1530171,3815721,13516,50178,26616,14036,281396,22372,9599,6766,13113,19977,4087,364434,49291,43816,78572,-17187,518907,23251,Short-term,91009,26444,Weighted Average,341,398147,56037,260938,292414,1,0,1,1,1
10001,Finance,Sole Proprietorship,E-commerce,Owning,Conservative,26,5671,7479933,3866126,3596210,-0.1841281173135057,1163413,2376304,31086,86268,12182,20933,403923,16117,8002,17114,4311,8606,1272,439791,68350,31431,26467,-1635,294931,29675,Long-term,219857,39248,Weighted Average,61,1850662,100969,217810,491367,1,0,1,1,1
10002,Manufacturing,Sole Proprietorship,Subscription,Leasing,Aggressive,7,5163,8761957,3116983,2527111,0.011667572076598742,243068,320435,32480,90042,91369,13392,165278,14779,4846,15928,11446,44384,4374,230868,87020,24453,48,17593,942280,24788,Short-term,14597,41545,Weighted Average,412,1044483,112115,287072,129870,1,0,0,1,1
10003,Finance,LLC,Subscription,Owning,Balanced,15,46424,6253973,2896230,2049606,-0.15771731095138108,376427,168477,46659,75726,99878,8938,487492,29294,9821,1648,24120,34052,4019,130787,9646,36079,36978,99485,387757,47129,Long-term,65067,6362,LIFO,471,594989,59914,212593,137897,1,0,0,1,1
10004,Finance,S-Corp,Software Sales,Leasing,Balanced,21,49002,6135218,2168433,1599757,0.10342347777006955,953476,2405682,49766,75111,63013,5141,3543,21630,9186,2130,8848,3148,815,449949,44713,17020,47606,-11515,722787,48300,Long-term,223592,34718,FIFO,454,856943,158381,306743,416914,0,0,1,1,1
10005,Retail,LLC,Subscription,Leasing,Aggressive,19,9795,2060584,4506397,3472207,0.2404865028198287,143805,3740370,40737,39565,32331,24350,175207,40039,4798,14392,19366,33536,4371,124427,72936,47353,81574,61504,794429,37867,Line of Credit,53022,9250,LIFO,259,2528648,108255,414991,255526,1,0,1,1,1
10006,Manufacturing,C-Corp,E-commerce,Leasing,Balanced,28,15634,6323754,3728621,1921297,0.24145740825936107,1948854,2447839,11265,94242,47098,10546,247541,49900,6605,10588,25689,5607,922,158063,49331,47785,98112,-33899,114887,12774,Long-term,217996,3818,Weighted Average,453,3205155,11349,333648,244954,1,0,1,1,1
10007,Manufacturing,C-Corp,Consulting,Owning,Conservative,29,9798,5685709,4606766,863759,0.12952270506611618,829359,3698173,7454,27884,27128,6335,104647,12178,2986,4366,6083,19586,4737,163625,27185,46320,73414,-41169,71086,12718,Short-term,379817,37368,FIFO,457,4311484,192892,474134,344409,1,0,1,1,1
10008,Manufacturing,LLC,Software Sales,Owning,Balanced,25,27420,9904815,1347991,3070855,-0.0943840842635345,1975597,1356652,37918,22199,32556,6077,35031,19935,400,1506,12598,29250,4600,230782,89263,27562,93145,1897,898663,24292,Line of Credit,416998,45109,LIFO,7,647838,166625,75687,180801,0,0,0,1,1
10009,Finance,Sole Proprietorship,Software Sales,Owning,Conservative,1,34300,678688,3781404,171184,0.23149841567943602,135657,3938685,28181,65038,88505,47015,174001,47258,2855,18542,16940,18594,4867,97493,57107,25373,49222,-44996,265494,3477,Short-term,56782,16053,Weighted Average,188,4090199,29525,425020,21171,1,0,1,1,1
10010,Healthcare,Sole Proprietorship,Consulting,Leasing,Aggressive,17,29345,4326156,1864188,1175627,0.24304671765660407,873062,1990407,17386,62786,22876,6611,327891,22784,3412,19300,19403,7399,1264,403850,71554,47105,48115,-4076,518889,17726,Line of Credit,470360,28426,LIFO,4,1146528,6948,376266,482699,1,0,0,1,1
10011,Manufacturing,LLC,Subscription,Owning,Conservative,17,15749,5855892,2157359,2287805,-0.10167320752352066,124428,3287746,41182,54294,9949,41857,451067,23027,56,15222,26880,25117,3724,498633,22563,31164,89606,-12830,597596,29522,Short-term,496867,48101,FIFO,231,4280350,15498,168331,332828,1,0,1,1,1
10012,Finance,LLC,Consulting,Leasing,Balanced,3,43595,8083372,268401,285300,0.16871304288533862,142035,811125,39425,83015,52962,36660,317455,31008,8022,12363,2580,33126,2787,284915,75729,2885,40647,-6445,287941,4293,Line of Credit,191085,40023,Weighted Average,133,1890208,151063,261797,458381,1,0,1,1,1
10013,Retail,C-Corp,Subscription,Owning,Balanced,12,30121,8227747,1035132,624010,-0.05674022553643854,1514139,2396537,45254,39178,91054,6577,236403,46631,1875,19613,24530,33617,2722,135607,20701,2049,54607,95734,277446,2159,Short-term,377860,25892,LIFO,395,2732510,60790,91284,59948,1,0,1,1,1
10014,Healthcare,Sole Proprietorship,Consulting,Leasing,Balanced,6,42487,4327995,209292,132036,0.20132015617646482,1299356,3008778,26327,17665,72206,21002,65867,1823,4543,11795,13844,7498,4223,256834,74072,44271,57410,68115,466388,38430,Short-term,385174,44675,FIFO,125,854754,139732,90227,44725,1,0,1,1,1
10015,Retail,LLC,E-commerce,Owning,Aggressive,26,33411,7437694,4741066,893392,0.2986189499518013,932676,2703695,23181,5534,25099,40451,88780,6852,4298,9858,24627,37290,2550,421514,53217,2161,21996,54216,572347,43973,Long-term,339180,30361,FIFO,15,3235974,27245,102556,291594,1,0,1,1,1
10016,Healthcare,C-Corp,Subscription,Owning,Aggressive,11,38361,9021334,3217759,321696,-0.1849869973353036,1810146,1778693,49662,96828,13716,35275,57196,13072,3768,12616,9553,45541,2949,89876,49610,1815,54921,15930,141980,16540,Line of Credit,302486,17007,LIFO,448,2657023,132310,48560,416516,1,0,1,1,1
10017,Finance,Sole Proprietorship,E-commerce,Owning,Balanced,3,26223,4052255,513937,3702340,0.24868293289546595,89518,2001161,23452,41132,53611,29647,73705,11133,5752,4136,9386,9628,1673,177071,89422,37534,83697,-13635,725612,4770,Line of Credit,90745,15241,FIFO,482,1413440,151992,294400,398044,1,0,1,1,1
10018,Tech,S-Corp,Software Sales,Leasing,Conservative,8,12394,3917242,3014391,1230456,0.11131526679932902,196355,3872949,40248,41110,39885,35831,320038,15111,4833,13478,20403,329,4587,212959,55131,28498,46022,12188,483875,13786,Long-term,419193,45858,Weighted Average,13,468431,47659,11125,94600,1,0,1,1,1
10019,Healthcare,C-Corp,Consulting,Leasing,Aggressive,14,19056,5090488,2731206,4469723,0.28669130958241057,1936334,1320015,42801,63754,54144,35768,349784,32312,1353,11161,19522,38619,3092,331792,34410,26037,40148,48633,153949,4103,Short-term,239648,46073,FIFO,118,1748789,126983,9370,145513,1,0,1,1,1
10020,Retail,Sole Proprietorship,Software Sales,Owning,Balanced,14,33380,339968,1242097,1030029,0.03250475876321379,687565,3866600,35751,68580,66220,31962,276735,24161,4987,2689,26224,7032,2838,465884,63715,37007,67764,13471,286383,47040,Short-term,324540,24902,LIFO,240,419325,75874,9838,121315,1,0,1,1,1
